"ID","Description","Quantity","底数","Designator","MPN","Manufactor"
"1","E ink Module 4.2inch-400x300px-Black-White;L97*W77*H1.15mm","1","1",,"HINK-E042A162","XingTai"
"2","PCBA; BeagleBadge","1","1",,,
"2.1","PCBA;BM3301 Module-1216","1","1","U25",,
"2.1.1","SMD Filter 2400MHz-2500MHz;4P-SMD-L1.6*W0.8*H0.6mm","1","1","U3","DEA162450BT-1295A1","TDK"
"2.1.2","SMD CAP Ceramic 10pF-25V-±5%-NPO;0201-D*Hmm","3","1","C1,C2,C24","CC0201JRNPO8BN100","YAGEO"
"2.1.3","SMD CAP Ceramic 100nF-10V-10%-X5R;0201","9","1","C6,C7,C8,C9,C10,C18,C20,C21,C23","CC0201KRX5R6BB104","YAGEO"
"2.1.4","SMD CAP Ceramic 4.7uF-10V-±10%-X5R;0402","2","1","C17,C22","CL05A475KP5NRNC","Samsung"
"2.1.5","SMD IPEX-GEN4 Female CONN;4P-L1.7*W1.7*H0.6mm","1","1","J1","ECT818000500","ECT"
"2.1.6","SMD Crystal 40MHz-9pF-10ppm-40R;4P-L2.0*W1.6*H0.5mm","1","1","Y1","Y4000Fc001","ECEC"
"2.1.7","CC3301 1216 shielding cover;0.2mm thickness","1","1",,,
"2.1.8","SMD CAP Ceramic 1uF-10V-±10%-X5R;0402","1","1","C5","CL05A105KP5NNNC","Samsung"
"2.1.9","SMD RES 200K-1%-1/20W;0201","1","1","R3","RC0201FR-07200KL","YAGEO"
"2.1.10","SMD IC RF;2.4GHz Wi-Fi 6 and BLE 5.4;QFN40","1","1","U2","CC3301ENJARSBR","TI"
"2.1.11","SMD CAP Ceramic;1uF-6.3V-±20%-X5R;0201","2","1","C3,C4","CC0201MRX5R5BB105","YAGEO"
"2.1.12","PCB;BM3301-1216 Module v1.0-Black-4L","1","1",,,
"2.1.13","SMD RES 0R-±1%-1/20W;0201","4","1","R1,R2,R4,L1","RC0201FR-070RL","YAGEO"
"2.1.14","SMD CAP Ceramic 10uF-6.3V-±20%-X5R;0402","1","1","C13","CL05A106MQ5NUNC","Samsung"
"2.1.15","SMD Ferrite Bead;120R-2A;0603","1","1","FB1","BLM18PG121SN1D","Murata"
"2.1.16","SMD IC PMIC;LDO-1.8V-300mA;X2SON-1*1-4L","1","1","U1","TLV73318PDQNR3","TI"
"2.2","SMD RES 0R-5%-1/16W;0402","81","1","R35,R40,R43,R44,R46,R48,R50,R51,R52,R107,R134,R135,R136,R137,R138,R139,R187,R197,R199,R200,R212,R213,R214,R223,R227,R228,R229,R230,R231,R232,R287,R289,R291,R292,R294,R298,R299,R300,R301,R302,R303,R304,R307,R309,R315,R321,R323,R325,R326,R327,R510,R515,R517,R518,R523,R527,R538,R539,R540,R543,R550,R554,R555,R556,R557,R567,R573,R580,R582,R583,R595,R598,R603,R607,R613,R614,R617,R619,R624,R627,R641","RC0402JR-070RL","YAGEO"
